notion_page_id,notion_url,created_time,last_edited_time,archived,in_trash,Date,GitHub Path,Action Items,Key Decisions,Source,Type,Related Area,Status,Summary,Codex Needed,Name
38e7fcdc-6320-816e-9641-f9153e476cc0,https://app.notion.com/p/LifeOS-Platform-Feasibility-Spike-Brief-v0-1-38e7fcdc6320816e9641f9153e476cc0,2026-06-29T17:04:00.000Z,2026-06-29T17:04:00.000Z,,False,2026-06-30,docs/technical/LIFEOS_PLATFORM_FEASIBILITY_SPIKE_V0_1.md,Next: create LIFEOS-CODEX-005 task to produce docs/technical/LIFEOS_PLATFORM_FEASIBILITY_SPIKE_V0_1.md and optionally a minimal native spike plan.,"Before building the full MVP, run a technical feasibility spike. Do not choose React Native vs Flutter based on UI alone. Validate platform capabilities first. Treat app-open intervention as ideal path, notification/manual logging as fallback paths.",ChatGPT,Product,App; Research; Automation,Saved,"Created the platform feasibility spike brief for LifeOS. The brief focuses on validating whether the core 'pause before opening selected apps' experience is technically feasible on iOS and Android, what fallback flows are required, and whether React Native/Flutter can support the needed native modules. Highest risk areas: iOS Screen Time APIs/entitlements, Android UsageStats/Accessibility/overlay policy, App Store/Play Store compliance, and fallback UX.",true,LifeOS Platform Feasibility Spike Brief v0.1
38e7fcdc-6320-8154-a0a3-d5119fad3be1,https://app.notion.com/p/LifeOS-Codex-Output-Review-v0-1-38e7fcdc63208154a0a3d5119fad3be1,2026-06-29T17:00:00.000Z,2026-06-29T17:00:00.000Z,,False,2026-06-30,docs/reviews/LIFEOS_CODEX_OUTPUT_REVIEW_V0_1.md,Next: create a technical feasibility spike brief and MVP prototype scope v0.1. Then ask Codex to create LIFEOS-CODEX-005 for platform feasibility and LIFEOS-CODEX-006 for prototype implementation plan.,Do not merge blindly as final product spec; treat these as review drafts. Next planning should focus on platform feasibility and prototype scope freeze before implementation. Android/iOS intervention feasibility is the highest risk. UI research supports RN and Flutter comparison but should not delay technical feasibility.,ChatGPT,Product,App; Brand; Research; Automation,Saved,"Reviewed Codex outputs for LIFEOS-CODEX-003 and LIFEOS-CODEX-004. Overall result is strong as review drafts: product direction, naming placeholders, non-goals, UX copy rules, UI direction, and platform risk framing were preserved. Main refinements needed: narrow actual prototype scope, separate technical feasibility spike from UI spike, improve several UX copy labels, and avoid assuming minute-based protected-time metrics before measurement is implemented.",true,LifeOS Codex Output Review v0.1
38e7fcdc-6320-81f5-8ff5-e058c9251eb8,https://app.notion.com/p/LifeOS-Wireframe-Brief-v0-1-Cross-platform-UI-Direction-38e7fcdc632081f58ff5e058c9251eb8,2026-06-29T16:19:00.000Z,2026-06-29T16:19:00.000Z,,False,2026-06-30,docs/product/LIFEOS_WIREFRAME_BRIEF_V0_1.md,"Next: after user review, create Codex task to convert this into PRD/wireframe docs and possibly reference UI component libraries depending on chosen stack.","Keep the app stack decision open between React Native and Flutter. The UI should be trendy, soft, and modern; avoid hard-edged old productivity-app aesthetics. Prioritize intervention overlay, app selection, home, 15:00 check-in, 22:00 achievement log, records, settings, and optional plans.",ChatGPT,Product,App; Brand; Automation,Saved,"Created screen-by-screen wireframe brief v0.1 for LifeOS / 하루조각 / Daymark. The brief assumes cross-platform development using React Native or Flutter, with a modern 2026 UI direction: soft, rounded, card-based, gradient/blur-friendly, non-dense, motion-aware, and not old-fashioned or rigid.",true,LifeOS Wireframe Brief v0.1 - Cross-platform UI Direction
38e7fcdc-6320-812c-8205-fe97f926720b,https://app.notion.com/p/LifeOS-UX-Copy-v0-2-Polite-Natural-Korean-38e7fcdc6320812c8205fe97f926720b,2026-06-29T16:14:00.000Z,2026-06-29T16:14:00.000Z,,False,2026-06-30,docs/product/LIFEOS_UX_COPY_V0_2.md,Next: proceed to screen-by-screen wireframe brief using UX Copy v0.2 as the copy source.,"All user-facing Korean copy should use 존댓말. Avoid internal terms such as 금지, 통제, 차단 as primary user-facing emotional copy. Empty states must explain what kind of record is missing, such as '앱을 열기 전 멈춘 기록' or '내 시간을 지켜낸 기록'.",ChatGPT,Product,App; Brand; Automation,Saved,"Revised the LifeOS / 하루조각 / Daymark UX copy to remove casual speech, awkward internal planning language, translation-like expressions, and unclear empty-state wording. Updated copy should use natural Korean honorifics, clearly communicate attention/time sovereignty, and make records specific: moments where the user paused, resisted distraction, or took time back.",true,LifeOS UX Copy v0.2 - Polite Natural Korean
38e7fcdc-6320-8119-ba4f-eb708fdfc03a,https://app.notion.com/p/LifeOS-UX-Copy-v0-1-Core-Screens-38e7fcdc63208119ba4feb708fdfc03a,2026-06-29T16:07:00.000Z,2026-06-29T16:07:00.000Z,,False,2026-06-30,docs/product/LIFEOS_UX_COPY_V0_1.md,"Next: refine copy with user feedback, then create screen-by-screen wireframe brief and Codex task after Notion sync.","Use placeholder names only. Keep Korean copy primary for now, with English copy structure implied for localization. UX copy should avoid shame, punishment, and over-optimization. Intervention screens should use multiple randomized copy sets.",ChatGPT,Product,App; Brand; Automation,Saved,"Drafted UX copy v0.1 for LifeOS / 하루조각 / Daymark placeholder names. Covers onboarding, app selection, permission, intervention, home, 15:00 check-in, 22:00 achievement log, weekly/monthly plans, review, and settings. Copy principles: gentle, skippable, non-shaming, low-burden, bilingual-ready.",true,LifeOS UX Copy v0.1 - Core Screens
38e7fcdc-6320-8167-86bb-f534924ae94e,https://app.notion.com/p/LifeOS-UX-Flow-v0-1-Remaining-Core-Screens-38e7fcdc6320816786bbf534924ae94e,2026-06-29T15:58:00.000Z,2026-06-29T15:58:00.000Z,,False,2026-06-30,docs/product/LIFEOS_UX_FLOW_V0_1.md,"Next: refine screen-by-screen copy, define data model, and later ask Codex to convert UX flow into wireframe brief after Notion sync.","Keep all check-ins skippable and low-burden. 15:00 check-in uses a simple 1-5 score. 22:00 achievement log allows 0-10 entries, but does not shame the user for skipping. Weekly/monthly plans are optional and should not become a daily planning burden. Naming remains placeholder.",ChatGPT,Product,App; Brand; Automation,Saved,"Continued the LifeOS/하루조각/Daymark placeholder UX flow for the remaining core screens: 15:00 midday check-in, 22:00 achievement logging, weekly/monthly plan setup, weekly/monthly plan check, record/review screen, and settings screen.",true,LifeOS UX Flow v0.1 - Remaining Core Screens
38e7fcdc-6320-810b-89bd-c8b1a2f0ea5b,https://app.notion.com/p/Naming-and-Localization-Decision-before-UX-Flow-38e7fcdc6320810b89bdc8b1a2f0ea5b,2026-06-29T15:51:00.000Z,2026-06-29T15:51:00.000Z,,False,2026-06-30,docs/brand/NAMING_AND_LOCALIZATION_DECISION.md,Next: perform a deeper naming availability check later; proceed to screen-by-screen UX flow using a placeholder app name. Candidate placeholder: LifeOS app / DayGuard / 하루조각.,"Keep LifeOS as the strongest working umbrella/team/company name for now. Do not finalize app name yet. Consider a bilingual naming strategy: one technical app, localized store titles/metadata, and possibly localized marketing names. 하루조각 is emotionally strong in Korean but needs a better English equivalent than literal translation.",ChatGPT,Brand,Brand; App; Research,Saved,"Reviewed company/team naming candidates LifeOS, Attention Lab, MeTime Lab and app naming candidates 하루조각, TakeBack, TimeBack, DayBack, DayGuard. Confirmed that app store localization can support different localized app names/metadata within one app, but final naming needs trademark/domain/App Store/Google Play conflict checks.",false,Naming and Localization Decision - before UX Flow
38e7fcdc-6320-81f9-b45d-cc03cc55870d,https://app.notion.com/p/LifeOS-Brand-Tone-and-MVP-Hypotheses-v0-1-38e7fcdc632081f9b45dcc03cc55870d,2026-06-29T15:41:00.000Z,2026-06-29T15:41:00.000Z,,False,2026-06-29,docs/brand/LIFEOS_BRAND_TONE_AND_HYPOTHESES_V0_1.md,Next: decide whether the company/team name should remain LifeOS or use another umbrella name; shortlist app names; then proceed to screen-by-screen UX flow and naming/copy refinement.,"Keep the large vision: protecting attention and life quality in an age of distraction. Separate company/team naming from app naming. Avoid shame, harsh self-improvement, or generic habit-tracker tone. App name candidates need trademark/domain/App Store checks later before decision.",ChatGPT,Brand,Brand; App; Research,Saved,"Defined LifeOS brand direction as a broader attention/life-protection lifestyle system rather than a simple blocker or habit app. Proposed brand architecture separating company/team name from app name, with LifeOS as a strong working umbrella name and a more emotionally precise app name to be selected later. Defined MVP validation hypotheses around randomized intervention screens, low-burden check-ins, achievement logging, and optional weekly/monthly plans.",false,LifeOS Brand Tone and MVP Hypotheses v0.1
38e7fcdc-6320-81e4-84e7-c848637fb3be,https://app.notion.com/p/LifeOS-MVP-v0-2-Screen-List-and-Feature-Priority-38e7fcdc632081e484e7c848637fb3be,2026-06-29T15:34:00.000Z,2026-06-29T15:34:00.000Z,,False,2026-06-29,docs/product/LIFEOS_MVP_SCREEN_LIST_AND_PRIORITY.md,"Next: define brand tone, MVP validation hypotheses, screen-by-screen UX flow, and naming/copy. Later run Notion sync and ask Codex to update the PRD/wireframe brief.","The MVP should prioritize target app selection, randomized intervention overlay, midday 1-5 check-in, night achievement log, optional weekly/monthly plans, lightweight review, and settings. Complex AI recommendations, social features, full planner, calendar integration, and heavy habit tracking are deferred.",ChatGPT,Product,App; Brand; Automation,Saved,"Defined the MVP v0.2 screen list and feature priority around a low-burden digital detox last-line-of-defense app with 15:00 check-in, 22:00 achievement logging, weekly/monthly optional plans, and randomized intervention screens.",true,LifeOS MVP v0.2 - Screen List and Feature Priority
38e7fcdc-6320-8129-b21d-cc9341cb4ace,https://app.notion.com/p/LifeOS-MVP-Concept-v0-1-one-sec-Forest-Daylio-Finch-38e7fcdc63208129b21dcc9341cb4ace,2026-06-29T15:09:00.000Z,2026-06-29T15:09:00.000Z,,False,2026-06-29,docs/product/LIFEOS_MVP_CONCEPT_V0_1.md,"Next: refine target user, core loop, first 7-day onboarding, screen list, feature priority, brand tone, and MVP non-goals. Run Notion sync after saving this concept, then ask Codex to turn it into a PRD and wireframe brief.","The preferred direction is one sec + Forest + Daylio + Finch. LifeOS should start as a meaningful-day recovery app, not a generic habit tracker. Korean and English versions should be planned through localization in one app first, with separate marketing assets for Korean and English audiences.",ChatGPT,Product,App; Brand; Automation,Saved,"LifeOS MVP Concept v0.1 is defined around one sec + Forest + Daylio + Finch: impulse-moment intervention, emotional growth reward, low-friction daily reflection, and warm failure-tolerant self-care. Bilingual Korean/English support should be treated as an early product and marketing principle, not a separate future rewrite.",true,LifeOS MVP Concept v0.1 - one sec + Forest + Daylio + Finch
38e7fcdc-6320-8100-8f39-fa65d8d9ebaa,https://app.notion.com/p/Research-Operating-Plan-100-Competitor-and-Market-Research-38e7fcdc632081008f39fa65d8d9ebaa,2026-06-29T14:03:00.000Z,2026-06-29T14:03:00.000Z,,False,2026-06-29,data/conversations.csv,Begin Phase 1 research with a market map and initial 100+ research taxonomy. Then research the first batch of app/service competitors and save useful results to Notion.,"Research will be done in batches: landscape map, 100+ competitor/service database, deep dives, user pain synthesis, opportunity map, MVP/product/content strategy. The user should review curated summaries and selected primary sources, not try to manually inspect every competitor from scratch.",ChatGPT,Strategy,Research; Ops,Saved,"Set the operating method for LifeOS startup research: ChatGPT leads external research, synthesis, competitive analysis, opportunity mapping, and product/content strategy; Notion stores structured findings; GitHub/Codex organize, export, and implement; the user reviews curated batches rather than raw lists.",false,Research Operating Plan - 100+ Competitor and Market Research
38e7fcdc-6320-81b2-92e0-f0bd7f2ed789,https://app.notion.com/p/SYNC_TEST_2026-06-29_ChatGPT_Notion_to_GitHub-38e7fcdc632081b292e0f0bd7f2ed789,2026-06-29T13:57:00.000Z,2026-06-29T13:57:00.000Z,,False,2026-06-29,data/conversations.csv,"Run the notion-sync GitHub Actions workflow manually, then verify that data/conversations.csv contains this row.","Use Notion as the central DB, GitHub as the execution repository, GitHub Actions for Notion sync, and Codex for implementation and automation.",ChatGPT,Automation,Automation; Ops,Saved,Notion to GitHub sync test row created from ChatGPT. This row is intended to verify that GitHub Actions can export Conversation Archive data into data/conversations.csv.,false,SYNC_TEST_2026-06-29_ChatGPT_Notion_to_GitHub
